Klasse,minimumSteigungWert1,maximumSteigungWert1,minimumSenkungWert1,maximumSenkungWert1,steigungA1,steigungB1,steigungC1,senkungA1,senkungB1,senkungC1,mittelA1,mittelB1,mittelC1,gesamtA1,gesamtB1,gesamtC1,fftAnfangMedian1,fftAnfangMittel1,fftAnfangPSD1,fftMitteMedian1,fftMitteMittel1,fftMittePSD1,fftEndeMedian1,fftEndeMittel1,fftEndePSD1,fftGesamtMedian1,fftGesamtMittel1,fftGesamtPSD1,mittelwert1,signalstärke1,varianz1,standardabweichung1,energie1,kurtosis1,schiefe1,zeroCrossings1,laenge1,maximalwert1,minimalwert1,minimumSteigungWert2,maximumSteigungWert2,minimumSenkungWert2,maximumSenkungWert2,steigungA2,steigungB2,steigungC2,senkungA2,senkungB2,senkungC2,mittelA2,mittelB2,mittelC2,gesamtA2,gesamtB2,gesamtC2,fftAnfangMedian2,fftAnfangMittel2,fftAnfangPSD2,fftMitteMedian2,fftMitteMittel2,fftMittePSD2,fftEndeMedian2,fftEndeMittel2,fftEndePSD2,fftGesamtMedian2,fftGesamtMittel2,fftGesamtPSD2,mittelwert2,signalstärke2,varianz2,standardabweichung2,energie2,kurtosis2,schiefe2,zeroCrossings2,laenge2,maximalwert2,minimalwert2,minimumSteigungWert3,maximumSteigungWert3,minimumSenkungWert3,maximumSenkungWert3,steigungA3,steigungB3,steigungC3,senkungA3,senkungB3,senkungC3,mittelA3,mittelB3,mittelC3,gesamtA3,gesamtB3,gesamtC3,fftAnfangMedian3,fftAnfangMittel3,fftAnfangPSD3,fftMitteMedian3,fftMitteMittel3,fftMittePSD3,fftEndeMedian3,fftEndeMittel3,fftEndePSD3,fftGesamtMedian3,fftGesamtMittel3,fftGesamtPSD3,mittelwert3,signalstärke3,varianz3,standardabweichung3,energie3,kurtosis3,schiefe3,zeroCrossings3,laenge3,maximalwert3,minimalwert3
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,62.660308660709376,284.2797151794439,96.98296951906111,317.6640568876091,0.0,0.0,0.0,286.84606384645303,-73.06452432114258,5.577205216179792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7710775698989769,9258.794505510892,53229.82283256051,230.71589202428277,1314132.352177497,1.7438550850786045,0.9819967800428958,7.0,99.0,807.77893,-405.75256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,87.88096022195893,197.80991538491787,49.09322753806297,249.73341582046726,136.8851089621404,-4.809026665500639,0.04052245485283404,136.8851089621404,-4.809026665500639,0.04052245485283404,202.82855276688792,-5.31685221219313,0.03502593930709891,0.0,0.0,0.0,1.0,1.8500746209567234,1.2239417895445423E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.140440533138687,7949.166725529714,29999.197132425586,173.2027630623299,1079490.0478436248,3.518468734193731,0.45951059975555275,16.0,137.0,645.0348,-461.74622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47.92994406437632,286.25446654859695,130.79260270912008,342.94850074941377,0.0,0.0,0.0,124.69369319868929,17.89111461131347,-0.7384311177697178,288.03752925253445,-76.58176559041738,5.707088293257073,124.69369319868929,17.89111461131347,-0.7384311177697178,3.0,4.354729690235555,9.146109126687078E7,0.0,0.0,0.0,1.0,0.864135240353322,2.4726632092705667E7,5.0,5.149321142433411,2.4646029473517325E7,9.24902319999998,4866.364237536555,186005.46107216922,431.28350428942815,1107962.4264290328,-1.1877381147253343,0.5821774680419014,1.0,25.0,833.5602,-458.72498,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,57.37807209441889,135.84241976272608,81.64430611892546,157.16877623954085,103.24218325453819,-0.08664231226383645,5.48405723183377E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35687055442420157,401535.6493128969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,159.6540032533767,333.2096459956529,202.94933919307036,345.4407420998584,199.61595084568125,51.909092047530066,-3.822268455221831,199.61595084568125,51.909092047530066,-3.822268455221831,199.61595084568125,51.909092047530066,-3.822268455221831,199.61595084568125,51.909092047530066,-3.822268455221831,1.0,0.8583155343076934,5523837.962642679,0.0,0.0,0.0,1.0,0.8421536644483798,3.457895710880012E7,0.0,0.0,0.0,-573.28662875,4683.333376755596,41559.032178290036,203.8603251696858,1468661.3145701985,-1.2800265999886622,0.37918040549859267,0.0,16.0,-202.72522,-837.4878
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,87.8296878085153,460.6413534124112,174.7899729306671,502.7240250408991,160.67272214942227,110.57610703343778,-9.278914313116957,160.67272214942227,110.57610703343778,-9.278914313116957,160.67272214942227,110.57610703343778,-9.278914313116957,160.67272214942227,110.57610703343778,-9.278914313116957,1.0,1.2595117734132792,858623.7180442867,0.0,0.0,3041398.4348355136,1.0,0.8310983413200391,6.102686217344267E7,0.0,0.0,0.0,554.1314278571429,4712.413029298666,249737.80992924634,499.7377411495417,1869919.4164546493,-1.4336989731540017,-0.45672584104665326,1.0,14.0,1112.4207,-289.03198
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,63.98501650356229,198.32626429503065,134.8929684259467,190.96146292918567,142.04624949346578,-0.5587468183457993,0.0011115911137470902,142.04624949346578,-0.5587468183457993,0.0011115911137470902,142.04624949346578,-0.5587468183457993,0.0011115911137470902,142.04624949346578,-0.5587468183457993,0.0011115911137470902,6.0,8.57650737344837,1.8829576625023755E8,1.0,0.838157223036405,2.3808012074696556E7,46.0,70.11274546186279,2.731896002741331E9,0.0,0.0,0.0,2.4980635384401095,32161.21189381524,42409.702689566315,205.93616168503848,3791910.552197315,-0.5013164524453582,0.16240257804556604,23.0,359.0,571.51794,-448.8556
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,71.4917241119183,517.9969198162913,157.9949818593672,582.4784892581324,558.882075831807,-76.61479696808169,6.3163095102404725,558.882075831807,-76.61479696808169,6.3163095102404725,558.882075831807,-76.61479696808169,6.3163095102404725,558.882075831807,-76.61479696808169,6.3163095102404725,2.0,1.7752766543879321,128002.4302709295,0.0,0.0,2337069.041056051,3.0,3.072620077107234,5.676632652918037E7,0.0,0.0,0.0,186.78965800000006,6722.6666578078475,729651.1512703364,854.196201858997,3056231.820369512,-1.2239210518860788,-0.11466677135934662,2.0,17.0,1457.4463,-1302.8595
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,83.0462071701088,331.9001551325083,128.662155999377,350.64804952731123,129.36005069260068,78.74868335545943,-6.656571391884526,129.36005069260068,78.74868335545943,-6.656571391884526,129.36005069260068,78.74868335545943,-6.656571391884526,129.36005069260068,78.74868335545943,-6.656571391884526,0.0,0.7722070858997062,393709.57688226236,0.0,0.35606203464673064,4912635.832337884,0.0,0.0,0.0,0.0,0.0,0.0,447.7478025,3525.4389263833827,102729.23465906827,320.51401632232603,1039172.2943258735,-1.4413915569919225,-0.3153148018823812,1.0,14.0,825.70496,-111.8866
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,265.0427474137342,540.0972069415262,107.5206816878536,650.5480664057111,212.5359129933363,21.176458997202985,-0.5417249507218251,212.5359129933363,21.176458997202985,-0.5417249507218251,212.5359129933363,21.176458997202985,-0.5417249507218251,212.5359129933363,21.176458997202985,-0.5417249507218251,3.0,4.538410156105924,1.0839520563846147E8,0.0,0.0,2751490.0456345603,2.0,2.539836777481401,7.269118504878516E7,0.0,0.0,0.0,11.203765194444458,12915.34302286102,593709.8201814676,770.5256778209715,5406588.296414719,-0.7550103756386188,0.3401044200963172,5.0,36.0,1629.7577,-1263.4827
