Klasse,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert
Finger2,168.76449486177506,314.4314365508523,78.20145688706752,366.27919086649354,75.54651983680719,155.84437781665383,4.011026254465634,155.84437781665383,4.011026254465634,-0.0159104992563468,75.54651983680719,155.84437781665383,4.011026254465634,155.84437781665383,4.011026254465634,-0.0159104992563468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.110689548814156,81914.31515456758,644465.0166433394,802.7857850281976,4.070131748714054E7,0.04874902007210391,-0.43068046173768,16.0,253.0,1674.6735,-2121.414
Finger2,64.72333735601171,307.54106335821814,163.57504812442332,359.42327765569456,363.561797417633,-0.34351073362607565,-6.847963677991675E-4,163.57504593620112,31.066465377807617,31.066463470458984,363.561797417633,-0.34351073362607565,-6.847963677991675E-4,363.561797417633,-0.34351073362607565,-6.847963677991675E-4,22.0,34.463303932278656,2.177075809876407E10,0.0,0.0,1365427.3052250003,0.0,0.0,0.0,0.0,0.0,0.0,-87.28852778579241,59423.84849124393,642623.5226340848,801.6380246932432,2.9578280569073644E7,-0.07185006788811821,0.3865403375503766,11.0,183.0,1851.8188,-1591.1865
Finger2,142.67880166831625,512.7220601137458,120.12969572129069,533.5670337785559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.41695261816676,2.117305726794541,-0.009230498976086937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.894630891970795,73690.4700676231,437889.65352035064,661.7323125859509,2.9949873777595308E7,0.7456306052850357,-0.4967805739772505,17.0,274.0,1733.7891,-2063.6077
Finger2,119.6381214071834,368.0295436192778,93.37667752655322,422.4373980962586,180.42682768716145,2.078489477656717,-0.00947424253139495,180.42682768716145,2.078489477656717,-0.00947424253139495,180.42682768716145,2.078489477656717,-0.00947424253139495,180.42682768716145,2.078489477656717,-0.00947424253139495,23.0,36.52262254217598,1.2358351753569143E10,0.0,0.0,2157746.56070754,0.0,0.0,0.0,0.0,0.0,0.0,-2.278030404263548,61537.85827740585,345797.45242736913,588.0454509877354,2.2240085452076014E7,-0.09293305605961555,0.38546750504657645,17.0,258.0,1419.6808,-1222.5952
Finger2,172.25748087233055,668.0329245065038,159.7834542827058,765.1346927317811,515.4809465064536,-7.0114927881603535,0.036143253244057816,515.4809465064536,-7.0114927881603535,0.036143253244057816,515.4809465064536,-7.0114927881603535,0.036143253244057816,515.4809465064536,-7.0114927881603535,0.036143253244057816,20.0,32.385177697634724,8.75577190318042E9,0.0,0.0,7226954.201700251,1.0,0.8372152445042915,1.3352522509474495E8,0.0,0.0,0.0,-37.00932101271686,46701.23605150674,443017.07494683674,665.5952786392319,1.9152645799894102E7,0.37593762078835136,0.35175733025447925,12.0,173.0,1729.2572,-1428.7445
Finger2,127.18621368497152,419.4409973620383,147.88745558892415,458.43587239583735,390.056559641027,-2.4000097913787286,0.008325164921721973,0.0,0.0,0.0,390.056559641027,-2.4000097913787286,0.008325164921721973,390.056559641027,-2.4000097913787286,0.008325164921721973,23.0,34.55723297758981,8.783563053623665E9,0.0,0.0,2608400.488851749,1.0,0.8301767266270056,5.0648565774748616E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finger2,457.6252986886215,1062.1650264426464,49.875136651463194,1215.6991557004546,104.67147371636383,-2.726660365453597,0.01786629663374739,104.67147371636383,-2.726660365453597,0.01786629663374739,104.67147371636383,-2.726660365453597,0.01786629663374739,104.67147371636383,-2.726660365453597,0.01786629663374739,40.0,62.982195109941244,7.266678545316722E10,0.0,0.35536977034962547,7.68946113392736E7,0.0,0.0,0.0,0.0,0.0,0.0,32.97620103447021,70901.59550154985,618019.6339540605,786.1422479132262,4.7005257983089104E7,2.5446389383329393,0.30026947668368603,19.0,302.0,2557.8826,-2302.89
Finger2,130.29521817749594,283.7947967111793,124.00820928310068,326.443518518084,334.07714370293127,-8.009601593017578,-8.009605407714844,334.07714370293127,-8.009601593017578,-8.009605407714844,334.07714370293127,-8.009601593017578,-8.009605407714844,334.07714370293127,-8.009601593017578,-8.009605407714844,1.0,0.8022190268397963,148632.39195468384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-377.4226252307693,3045.362567345478,92504.50190928411,304.14552751813414,781429.0077057694,-1.1826324222093147,0.46272164916824654,1.0,13.0,206.04858,-755.10864
Finger2,25.01816799137639,237.8088197711583,66.2741822870256,282.650463819159,327.9548571758189,0.6357589964616324,-0.008177178464077228,327.9548571758189,0.6357589964616324,-0.008177178464077228,327.9548571758189,0.6357589964616324,-0.008177178464077228,327.9548571758189,0.6357589964616324,-0.008177178464077228,22.0,33.358219227833104,1.4188986582412449E10,0.0,0.0,795432.3109488145,2.0,2.309673659114369,7979841.760910532,0.0,0.0,0.0,4.071251912509962,59418.25895855286,404335.7958784189,635.8740408905044,2.5268612828258615E7,1.0036622032466758,-0.5004056770524569,10.0,251.0,1680.011,-1926.6449
Finger2,169.81903397241467,451.4543028747042,208.43164734965595,494.133234442757,462.45900803199663,-100.70826676301544,7.96055671294215,462.45900803199663,-100.70826676301544,7.96055671294215,462.45900803199663,-100.70826676301544,7.96055671294215,462.45900803199663,-100.70826676301544,7.96055671294215,24.0,35.53229521192139,3.3090229111096176E10,0.0,0.0,2987892.9501221534,1.0,0.827667825100902,5.958626373684012E7,0.0,0.0,0.0,-73.83401772977008,68518.97380712104,857264.7606517605,925.8859328512128,3.728434019830894E7,-0.4015817413118161,0.4720448127732253,8.0,174.0,2373.0835,-1631.8726
