Klasse,minimumSteigungWert1,maximumSteigungWert1,minimumSenkungWert1,maximumSenkungWert1,steigungA1,steigungB1,steigungC1,senkungA1,senkungB1,senkungC1,mittelA1,mittelB1,mittelC1,gesamtA1,gesamtB1,gesamtC1,fftAnfangMedian1,fftAnfangMittel1,fftAnfangPSD1,fftMitteMedian1,fftMitteMittel1,fftMittePSD1,fftEndeMedian1,fftEndeMittel1,fftEndePSD1,fftGesamtMedian1,fftGesamtMittel1,fftGesamtPSD1,mittelwert1,signalstärke1,varianz1,standardabweichung1,energie1,kurtosis1,schiefe1,zeroCrossings1,laenge1,maximalwert1,minimalwert1,minimumSteigungWert2,maximumSteigungWert2,minimumSenkungWert2,maximumSenkungWert2,steigungA2,steigungB2,steigungC2,senkungA2,senkungB2,senkungC2,mittelA2,mittelB2,mittelC2,gesamtA2,gesamtB2,gesamtC2,fftAnfangMedian2,fftAnfangMittel2,fftAnfangPSD2,fftMitteMedian2,fftMitteMittel2,fftMittePSD2,fftEndeMedian2,fftEndeMittel2,fftEndePSD2,fftGesamtMedian2,fftGesamtMittel2,fftGesamtPSD2,mittelwert2,signalstärke2,varianz2,standardabweichung2,energie2,kurtosis2,schiefe2,zeroCrossings2,laenge2,maximalwert2,minimalwert2
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60.77862594337899,337.4418345836719,119.25271079833973,368.6902814730801,143.32384722027427,82.89151227607806,-8.740776915992704,143.32384722027427,82.89151227607806,-8.740776915992704,343.4536019195134,-86.59390678710213,5.8569568123030535,143.32384722027427,82.89151227607806,-8.740776915992704,1.0,0.8990800023395221,892214.1803692316,0.0,0.0,0.0,1.0,0.8606271914128094,3.122961593053687E7,1.0,1.634237642025848,5.73328920648489E7,414.37149374999996,2767.8928588053723,94476.27879060138,307.3699380072836,779453.0340123059,-1.5704830040361655,0.3602031861937995,0.0,12.0,906.8756,75.93384
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.014595843197203,201.83283045733825,78.88615202723666,221.58517893738622,85.34849173230054,18.385682563456953,-0.8311441148909235,85.34849173230054,18.385682563456953,-0.8311441148909235,0.0,0.0,0.0,85.34849173230054,18.385682563456953,-0.8311441148909235,1.0,1.8000516793443182,3.546379700383418E7,0.0,0.0,0.0,1.0,0.830006806154383,1.2270221746433716E7,3.0,4.915106443510397,2.3984721110771924E7,-28.122709250000025,3528.9450371544663,101869.10926272409,319.1694052736322,588791.1789582612,-1.2004249061076102,0.5767883269135576,1.0,24.0,551.7792,-368.3899
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,157.46646733510846,451.3973110247037,121.40578914382188,482.5431216380441,111.82909730540405,111.75178160397695,-8.636533613278388,111.82909730540405,111.75178160397695,-8.636533613278388,111.82909730540405,111.75178160397695,-8.636533613278388,111.82909730540405,111.75178160397695,-8.636533613278388,1.0,1.019314846578124,1728314.708878032,0.0,0.0,2516833.850977433,1.0,0.8390797392765744,6.24021325161932E7,0.0,0.0,0.0,-568.3528275571429,4661.698460080838,176549.69392330537,420.178169260738,1778791.0174868947,-1.5761998607475618,0.24127604650202253,1.0,14.0,128.80554,-1092.279
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,206.59029341173948,726.2214947265848,191.8273871187934,772.4505534122528,219.83523207654707,-4.319713667985653,0.036576689196976986,219.83523207654707,-4.319713667985653,0.036576689196976986,219.83523207654707,-4.319713667985653,0.036576689196976986,219.83523207654707,-4.319713667985653,0.036576689196976986,24.0,33.91580177924056,3.7455256949052157E9,0.0,0.0,6523200.7741080625,0.0,0.0,0.0,0.0,0.0,0.0,19.814300109226174,33631.29621605229,328964.15876771975,573.553971974495,1.38431564776439E7,1.5793113960166947,0.37161280586646694,13.0,168.0,1840.1367,-1504.6783
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,76.11425956086221,186.64946379377062,106.6768677407099,209.86271612032573,82.23038682431536,-2.526688732812058,0.021585813374147916,160.70142847789907,-3.884551474697222,0.02449070875041738,82.23038682431536,-2.526688732812058,0.021585813374147916,0.0,0.0,0.0,1.0,1.798282422437974,2.761443331115534E7,0.0,0.0,311165.00436515565,21.0,33.67511104505939,7.79290126400965E8,0.0,0.0,0.0,-22.054395029411758,8370.180081514818,22158.60839434659,148.85767831840784,871479.5290926455,2.22265986212582,0.8388579460213974,9.0,153.0,507.66907,-359.02405
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,282.3478841574275,738.687007107012,124.289831771733,934.7030099305701,386.6310229608157,-6.232907369771581,0.03546054246053071,386.6310229608157,-6.232907369771581,0.03546054246053071,386.6310229608157,-6.232907369771581,0.03546054246053071,386.6310229608157,-6.232907369771581,0.03546054246053071,26.0,34.98677760946074,4.0818600262140465E9,0.0,0.0,7803862.379352361,0.0,0.0,0.0,22.0,34.21174087077704,7.10427183369887E9,41.780227892,47144.76566786169,370123.80584747205,608.3780122978411,1.8792811242156833E7,1.7140424743145948,0.24512816099369583,14.0,200.0,2291.3086,-1684.3414
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48.53143806696947,266.9065510451899,74.81313172144164,277.3141489031201,0.0,0.0,0.0,295.4349168716932,1.1292495727539062,1.1292457580566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77819.34000278462,0.0,0.0,0.0,0.0,0.0,0.0,15.009872765217391,3632.2752964920455,123856.44281167709,351.93244069235374,690352.2961640928,-0.6865572276205203,0.8306180980748685,2.0,23.0,780.8899,-345.12634
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,117.23640617489669,407.15507006738636,72.79699875931772,414.959991068114,255.01069960190353,-0.1695127100477407,-0.003959175224082179,255.01069960190353,-0.1695127100477407,-0.003959175224082179,255.01069960190353,-0.1695127100477407,-0.003959175224082179,255.01069960190353,-0.1695127100477407,-0.003959175224082179,11.0,17.145107641803843,3.5352491003638334E9,0.0,0.0,1037671.2515822499,1.0,0.8436809896351031,5.124656381439237E7,0.0,0.0,0.0,7.261837326470581,23757.956908959393,300322.26404148416,548.0166640180609,7640257.67392177,-0.0725020288179632,0.6293840070096136,7.0,102.0,1433.7799,-975.8606
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37.368839236167034,220.22580846769685,78.93967221277958,228.38089730926495,92.28180978736782,-4.375064289074899,0.08000602301922388,92.28180978736782,-4.375064289074899,0.08000602301922388,92.28180978736782,-4.375064289074899,0.08000602301922388,92.28180978736782,-4.375064289074899,0.08000602301922388,5.0,7.990124023059509,2.7899307864201583E7,0.0,0.0,171821.9888405056,1.0,0.853835185947109,1.4034506898376986E7,0.0,0.0,0.0,22.59456127914286,4846.220373658648,31524.302280103024,177.55084421118087,555373.0530987284,1.7955158887858698,1.3079695482513296,7.0,70.0,604.44946,-263.55286
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,268.11198195967523,519.4668923345278,78.75478241317231,576.3357391906868,250.53037826203763,-19.8147702947158,0.530897933426508,250.53037826203763,-19.8147702947158,0.530897933426508,250.53037826203763,-19.8147702947158,0.530897933426508,250.53037826203763,-19.8147702947158,0.530897933426508,9.0,9.503439326371328,4.153180610839471E7,0.0,0.0,3737616.642625556,1.0,0.8458339643774255,8.554892286199304E7,0.0,0.0,0.0,-164.4179097718,9714.97426334696,239640.53849277753,489.5309372172279,3427861.7873988007,0.060135040644644366,-0.5715828047149331,4.0,50.0,784.7168,-1311.5204
