Klasse,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,147.7794508907843,551.6230639472373,56.1111765034985,588.1927336502403,49.38912581715567,1.0314108885331095,-9.888683576919077E-4,49.38912581715567,1.0314108885331095,-9.888683576919077E-4,49.38912581715567,1.0314108885331095,-9.888683576919077E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8481990339817607,8.751689116491213E7,47.0,69.52170447683693,7.769109881752197E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,173.7909287295185,431.74162735902684,102.44004401422696,520.4618422372697,-18.29365821301144,7.828824036468319,-0.030350903265182527,-18.29365821301144,7.828824036468319,-0.030350903265182527,-18.29365821301144,7.828824036468319,-0.030350903265182527,-18.29365821301144,7.828824036468319,-0.030350903265182527,22.0,32.83213487729526,2.37805183298868E10,0.0,0.8004086957274195,5.232164821073765E7,1.0,0.8380447920811878,5.7695127441432394E7,0.0,0.0,0.0,-42.10787380934211,79301.21868069156,848807.6534811101,921.3075781090212,4.8365911473615475E7,1.4807649605528876,0.22834100282613584,13.0,228.0,2962.4268,-2801.193
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,205.40151676128235,520.6567321047319,114.76075590466266,574.2565322015943,604.1461374764722,-4.132961694753334,0.014377012429362734,604.1461374764722,-4.132961694753334,0.014377012429362734,604.1461374764722,-4.132961694753334,0.014377012429362734,604.1461374764722,-4.132961694753334,0.014377012429362734,24.0,34.56136450916631,1.546379526489619E10,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.27653491014495,56761.32077264456,897240.7299696689,947.227918702605,3.1067453378921535E7,-0.5838227659182773,0.20287994834767972,10.0,138.0,2130.9814,-1943.5638
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,174.74110382386937,451.99372149565875,66.59668616367175,499.74094234681013,167.2631230045149,10.11079341567978,-0.05805435315162366,167.2631230045149,10.11079341567978,-0.05805435315162366,167.2631230045149,10.11079341567978,-0.05805435315162366,167.2631230045149,10.11079341567978,-0.05805435315162366,22.0,33.27413533004455,1.6696494399236906E10,0.0,0.0,2896343.2528823297,0.0,0.0,0.0,0.0,0.0,0.0,-43.118081960919525,80214.5697565456,1105949.3656721232,1051.6412723320263,4.8025983770138524E7,-0.6125233064780704,0.33031423755078837,10.0,174.0,2365.5303,-2083.6487
Finger2,51.23985408717962,138.26416838588364,77.03146509531315,189.28359183308243,154.33983743079943,-7.326321528045511,0.10339398114799925,154.33983743079943,-7.326321528045511,0.10339398114799925,154.33983743079943,-7.326321528045511,0.10339398114799925,154.33983743079943,-7.326321528045511,0.10339398114799925,1.0,1.018228466790368,211969.00822711136,0.0,0.3339511422329279,3004616.7451805808,0.0,0.0,0.0,0.0,0.0,0.0,-54.91893228358211,4277.053637006365,24220.651092441723,155.6298528317807,459748.4686350138,1.010568114006209,-0.342337817351385,7.0,67.0,326.7975,-458.32214,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,96.56356934476601,322.0780990530225,96.46039138435981,368.0978321855609,248.87302612909662,-2.877086840552863,0.05240438381680068,248.87302612909662,-2.877086840552863,0.05240438381680068,248.87302612909662,-2.877086840552863,0.05240438381680068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833511334999966,8787.179355618451,243862.29680658222,493.8241557544368,2410429.20892116,-1.0812574805365922,-0.05159407668815735,2.0,40.0,863.7726,-851.0834
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,180.9546003288459,418.3323518274981,214.44630914608453,498.71321172159406,520.7227428683209,-14.43826750190749,0.14274727728997072,520.7227428683209,-14.43826750190749,0.14274727728997072,520.7227428683209,-14.43826750190749,0.14274727728997072,520.7227428683209,-14.43826750190749,0.14274727728997072,11.0,17.03923148182725,2.3915499025792866E9,0.0,0.3341856585723453,2.2713650444760375E7,0.0,0.0,0.0,0.0,0.0,0.0,-33.30116256363637,22429.380399168076,370022.6488931821,608.2948700204385,8088073.037590656,-0.8985627400784524,-0.04889486970446995,6.0,88.0,1070.6268,-1216.0492
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,81.49800316973813,303.84503706524833,193.4303837450805,355.7033329199396,375.8948621573063,7.0911275034832215,-6.283205864329375,375.8948621573063,7.0911275034832215,-6.283205864329375,375.8948621573063,7.0911275034832215,-6.283205864329375,375.8948621573063,7.0911275034832215,-6.283205864329375,13.0,18.490137775245305,1.8132429058616705E9,0.0,0.3336813475591124,1.1184303451175103E7,1.0,1.7472776611092786,7.97627674249647E7,0.0,0.0,0.0,-11.667633549242387,29986.310914528487,317793.9427741727,563.7321551713834,1.0396697724079305E7,-0.1830001726817012,0.3421388801408731,10.0,132.0,1396.518,-1197.7203
Finger2,39.84359295095308,164.36410282695536,66.72412826282698,198.85410964329412,94.25746589950154,-1.563377536366282,0.008683934297604834,94.25746589950154,-1.563377536366282,0.008683934297604834,94.25746589950154,-1.563377536366282,0.008683934297604834,94.25746589950154,-1.563377536366282,0.008683934297604834,29.0,37.29051200918248,7.106831416778228E8,1.0,1.813214335233476,4.256164966303659E7,0.0,0.0,0.0,0.0,0.0,0.0,-17.49083935475114,13857.839143559797,25837.99429287991,160.74201159895912,1442678.658861729,1.4098252298982077,-0.63609488590884,16.0,221.0,436.77063,-510.28748,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113.95967056304009,290.19934957633865,61.48003571172414,332.79895199315416,69.07392629811307,76.33409578617443,-5.887893752699554,69.07392629811307,76.33409578617443,-5.887893752699554,69.07392629811307,76.33409578617443,-5.887893752699554,0.0,0.0,0.0,1.0,1.0330638108564154,413676.25745482487,0.0,0.0,1289549.88547225,1.0,0.8427305428277271,2.6375756515335806E7,0.0,0.0,0.0,366.26063592857145,3091.252701945261,85432.5627735853,292.28849237283583,791793.680364133,-1.7429445067197697,-0.06390287645031359,1.0,14.0,746.24634,-31.32019
